,Date,ContractName,rv,bv,ssj,interval,method
98,2018-05-24,ESM18,4.518134802215703e-05,4.4051538322777355e-05,1.129809699379677e-06,1,naive
99,2018-05-25,ESM18,1.915980186664145e-05,1.7305914493315514e-05,1.8538873733259366e-06,1,naive
100,2018-05-29,ESM18,6.447373805716881e-05,6.682400045720458e-05,0.0,1,naive
101,2018-05-30,ESM18,2.369928257094735e-05,2.2689409137343768e-05,1.0098734336035838e-06,1,naive
102,2018-05-31,ESM18,4.341085791430152e-05,3.89030720651835e-05,4.5077858491180206e-06,1,naive
103,2018-06-01,ESM18,2.2194018107869375e-05,2.290656862328977e-05,0.0,1,naive
104,2018-06-04,ESM18,1.1066803761022146e-05,9.995993170780907e-06,1.0708105902412389e-06,1,naive
105,2018-06-05,ESM18,1.574445004750737e-05,1.48068583579727e-05,9.375916895346683e-07,1,naive
106,2018-06-06,ESM18,1.555949716817391e-05,1.3059753639652065e-05,2.4997435285218455e-06,1,naive
107,2018-06-07,ESM18,3.220318027193519e-05,2.7252653510284583e-05,4.9505267616506105e-06,1,naive
108,2018-06-08,ESM18,2.093408986359077e-05,1.7342122915427664e-05,3.591966948163107e-06,1,naive
109,2018-06-11,ESM18,1.0670112074630908e-05,8.772567470709247e-06,1.897544603921661e-06,1,naive
110,2018-06-13,ESU18,1.8587108733951398e-05,1.8329630692611116e-05,2.5747804134028187e-07,1,naive
111,2018-06-14,ESU18,1.4096592682175685e-05,1.3049805290107509e-05,1.0467873920681759e-06,1,naive
112,2018-06-15,ESU18,2.1666881263871114e-05,2.0735407752887103e-05,9.314735109840119e-07,1,naive
113,2018-06-18,ESU18,1.897943411165768e-05,1.787774429641325e-05,1.1016898152444274e-06,1,naive
114,2018-06-19,ESU18,3.3880335827279194e-05,2.7235475100991923e-05,6.644860726287271e-06,1,naive
115,2018-06-20,ESU18,1.5187273686214297e-05,1.5415268881138133e-05,0.0,1,naive
116,2018-06-21,ESU18,3.692770337869807e-05,3.642088941431223e-05,5.068139643858339e-07,1,naive
117,2018-06-22,ESU18,2.1909451858301108e-05,1.9452526410387705e-05,2.456925447913403e-06,1,naive
118,2018-06-25,ESU18,7.387494109523462e-05,6.383765267501075e-05,1.0037288420223874e-05,1,naive
119,2018-06-26,ESU18,3.823846529142228e-05,3.850546831482671e-05,0.0,1,naive
120,2018-06-27,ESU18,5.998173252560415e-05,5.886215489689658e-05,1.1195776287075681e-06,1,naive
121,2018-06-28,ESU18,7.316247808257032e-05,7.313348292801456e-05,2.899515455575955e-08,1,naive
122,2018-06-29,ESU18,2.6547208565219235e-05,2.1474329201701887e-05,5.072879363517348e-06,1,naive
123,2018-07-02,ESU18,3.536634671506513e-05,3.511154787747327e-05,2.547988375918613e-07,1,naive
124,2018-07-03,ESU18,2.2691464728912955e-05,2.4108744475588724e-05,0.0,1,naive
125,2018-07-05,ESU18,3.555959556618412e-05,3.4074944653982234e-05,1.4846509122018862e-06,1,naive
126,2018-07-06,ESU18,2.3772671534893728e-05,2.261464569132979e-05,1.1580258435639372e-06,1,naive
127,2018-07-09,ESU18,1.3019017338479148e-05,1.118920454390325e-05,1.8298127945758988e-06,1,naive
128,2018-07-10,ESU18,1.6996300608947763e-05,1.395175152404862e-05,3.0445490848991424e-06,1,naive
129,2018-07-11,ESU18,2.9484940943009487e-05,2.8029031424056708e-05,1.455909518952779e-06,1,naive
130,2018-07-12,ESU18,1.901666226095862e-05,1.6590030556980047e-05,2.426631703978572e-06,1,naive
131,2018-07-13,ESU18,1.349260586009377e-05,1.2791036512570399e-05,7.015693475233716e-07,1,naive
132,2018-07-16,ESU18,1.3664877028517364e-05,1.2737126535704813e-05,9.277504928125505e-07,1,naive
133,2018-07-17,ESU18,1.4161814420980917e-05,1.1267886742137028e-05,2.893927678843888e-06,1,naive
134,2018-07-18,ESU18,1.1549814463004342e-05,1.1183802834221245e-05,3.66011628783097e-07,1,naive
135,2018-07-19,ESU18,2.5060562177519957e-05,2.3820068631786454e-05,1.2404935457335026e-06,1,naive
136,2018-07-20,ESU18,1.1221243736914217e-05,1.0491621080208652e-05,7.296226567055647e-07,1,naive
137,2018-07-23,ESU18,1.1419126245188925e-05,1.0025230751650216e-05,1.3938954935387087e-06,1,naive
138,2018-07-24,ESU18,2.352878807271836e-05,2.0931657294490788e-05,2.597130778227571e-06,1,naive
139,2018-07-25,ESU18,1.9539862889499142e-05,1.6676344930257036e-05,2.863517959242106e-06,1,naive
140,2018-07-26,ESU18,1.647455490039712e-05,1.53056951719766e-05,1.168859728420521e-06,1,naive
141,2018-07-27,ESU18,3.326004059925794e-05,3.3833634072281665e-05,0.0,1,naive
142,2018-07-30,ESU18,2.8765107188407994e-05,2.7385644929616194e-05,1.3794622587917998e-06,1,naive
143,2018-07-31,ESU18,1.8718553720082396e-05,1.7327164549754863e-05,1.3913891703275326e-06,1,naive
144,2018-08-01,ESU18,2.2292304202961685e-05,1.9528128573839103e-05,2.7641756291225828e-06,1,naive
145,2018-08-02,ESU18,2.18186781995327e-05,1.9648897016391608e-05,2.169781183141092e-06,1,naive
146,2018-08-03,ESU18,1.2821192889755388e-05,1.2027891955825064e-05,7.933009339303246e-07,1,naive
147,2018-08-06,ESU18,9.061514537997669e-06,7.491672100955225e-06,1.5698424370424434e-06,1,naive
148,2018-08-07,ESU18,1.0129160479993962e-05,9.144213888240768e-06,9.849465917531942e-07,1,naive
149,2018-08-08,ESU18,7.929408978697808e-06,7.694762260591901e-06,2.3464671810590676e-07,1,naive
150,2018-08-09,ESU18,7.603807517827301e-06,7.042560162614716e-06,5.612473552125855e-07,1,naive
151,2018-08-10,ESU18,2.8197512267375567e-05,2.9687257701196495e-05,0.0,1,naive
152,2018-08-13,ESU18,2.6447860906504993e-05,2.584997426585521e-05,5.978866406497832e-07,1,naive
153,2018-08-14,ESU18,1.9782932509516292e-05,1.9773783220229194e-05,9.149289287098443e-09,1,naive
154,2018-08-15,ESU18,4.725860358533486e-05,4.4424250767287266e-05,2.8343528180475915e-06,1,naive
155,2018-08-16,ESU18,1.6055787082446363e-05,1.4096784273798643e-05,1.9590028086477196e-06,1,naive
156,2018-08-17,ESU18,1.858072268280714e-05,1.6855233094087567e-05,1.7254895887195729e-06,1,naive
157,2018-08-20,ESU18,9.49983417866685e-06,9.941418068349964e-06,0.0,1,naive
158,2018-08-21,ESU18,1.1017800139849896e-05,9.928834125835488e-06,1.0889660140144087e-06,1,naive
159,2018-08-22,ESU18,1.2235249258520915e-05,1.0944166390651575e-05,1.2910828678693404e-06,1,naive
160,2018-08-23,ESU18,1.4917422947505809e-05,1.3339845984478063e-05,1.5775769630277457e-06,1,naive
161,2018-08-24,ESU18,1.0967273098565301e-05,1.0129854988451452e-05,8.374181101138485e-07,1,naive
162,2018-08-27,ESU18,1.0686546590714156e-05,1.0214147574573547e-05,4.723990161406089e-07,1,naive
163,2018-08-28,ESU18,8.531605796306243e-06,7.957204107233526e-06,5.744016890727174e-07,1,naive
164,2018-08-29,ESU18,7.89944959668871e-06,6.87644088514937e-06,1.0230087115393407e-06,1,naive
165,2018-08-30,ESU18,2.372549629073236e-05,2.2495892141844843e-05,1.229604148887518e-06,1,naive
166,2018-08-31,ESU18,1.914232529451453e-05,1.7405562055376108e-05,1.7367632391384232e-06,1,naive
167,2018-09-04,ESU18,2.4337250181384284e-05,2.3421034097810968e-05,9.162160835733157e-07,1,naive
168,2018-09-05,ESU18,2.7074011948948265e-05,2.7165172366406502e-05,0.0,1,naive
169,2018-09-06,ESU18,3.574900169944008e-05,3.716455137865486e-05,0.0,1,naive
170,2018-09-07,ESU18,3.610526000058215e-05,3.617671254387818e-05,0.0,1,naive
171,2018-09-10,ESU18,1.635176679943249e-05,1.5513476113560017e-05,8.38290685872472e-07,1,naive
172,2018-09-11,ESU18,1.4765610198621004e-05,1.3379470445338996e-05,1.3861397532820076e-06,1,naive
173,2018-09-13,ESZ18,1.5637616133696746e-05,1.5154980962867944e-05,4.82635170828802e-07,1,naive
174,2018-09-14,ESZ18,1.7017335919210037e-05,1.3025800605565179e-05,3.991535313644858e-06,1,naive
175,2018-09-17,ESZ18,1.394325258517707e-05,1.3504745362356993e-05,4.3850722282007724e-07,1,naive
176,2018-09-18,ESZ18,1.4295541587266192e-05,1.3747598028642099e-05,5.479435586240931e-07,1,naive
177,2018-09-19,ESZ18,1.276066549838168e-05,1.2265878949384187e-05,4.947865489974921e-07,1,naive
178,2018-09-20,ESZ18,1.0476373475155463e-05,9.883261325916637e-06,5.931121492388254e-07,1,naive
179,2018-09-21,ESZ18,1.0071126617277314e-05,9.664305751664134e-06,4.068208656131797e-07,1,naive
180,2018-09-24,ESZ18,1.463218227143063e-05,1.3388925417325594e-05,1.2432568541050355e-06,1,naive
181,2018-09-25,ESZ18,9.92053698682279e-06,8.41558023077444e-06,1.5049567560483506e-06,1,naive
182,2018-09-26,ESZ18,1.7107970561005165e-05,1.670797470988255e-05,3.9999585112261466e-07,1,naive
183,2018-09-27,ESZ18,1.5042537893091446e-05,1.2938618229893947e-05,2.1039196631974994e-06,1,naive
184,2018-09-28,ESZ18,1.5023362132384225e-05,1.4160597231323388e-05,8.627649010608365e-07,1,naive
185,2018-10-01,ESZ18,1.254884747035353e-05,1.080427759708832e-05,1.744569873265209e-06,1,naive
186,2018-10-02,ESZ18,1.5367833824170426e-05,1.5399148014379625e-05,0.0,1,naive
187,2018-10-03,ESZ18,1.6740537252046286e-05,1.60493579394912e-05,6.911793125550867e-07,1,naive
188,2018-10-04,ESZ18,4.4557746727156035e-05,4.506017578475496e-05,0.0,1,naive
189,2018-10-05,ESZ18,4.794389404104363e-05,4.753633493794539e-05,4.0755910309824196e-07,1,naive
190,2018-10-08,ESZ18,5.14895405616831e-05,4.840819757537421e-05,3.0813429863088895e-06,1,naive
191,2018-10-09,ESZ18,4.703363694857686e-05,4.2231917546540655e-05,4.801719402036203e-06,1,naive
192,2018-10-10,ESZ18,0.00013104122312048352,0.00012238480756306672,8.656415557416799e-06,1,naive
193,2018-10-11,ESZ18,0.0003822461547110381,0.00039747597535638116,0.0,1,naive
194,2018-10-12,ESZ18,0.0002054802727765538,0.00019395994681615158,1.1520325960402223e-05,1,naive
195,2018-10-15,ESZ18,8.056034099442706e-05,7.764398366578864e-05,2.916357328638423e-06,1,naive
196,2018-10-16,ESZ18,4.307343630434184e-05,4.5577223351899205e-05,0.0,1,naive
197,2018-10-17,ESZ18,8.31154349714526e-05,7.542963341514061e-05,7.685801556311985e-06,1,naive
198,2018-10-18,ESZ18,0.00014389310410363725,0.00014235814602239302,1.5349580812442254e-06,1,naive
199,2018-10-19,ESZ18,8.035466415985291e-05,8.124023482061918e-05,0.0,1,naive
200,2018-10-22,ESZ18,8.949194784447636e-05,8.778167053118073e-05,1.710277313295627e-06,1,naive
201,2018-10-23,ESZ18,0.0001681924314056008,0.00016088673555520692,7.3056958503938925e-06,1,naive
202,2018-10-24,ESZ18,0.0002107718365675462,0.00020682467613427502,3.947160433271182e-06,1,naive
203,2018-10-25,ESZ18,0.00013148140777938683,0.00012478885510283747,6.692552676549365e-06,1,naive
204,2018-10-26,ESZ18,0.000345657519712535,0.00032078496625415623,2.4872553458378792e-05,1,naive
205,2018-10-29,ESZ18,0.0002412919415092653,0.00021558141544484135,2.5710526064423952e-05,1,naive
206,2018-10-30,ESZ18,0.00023660164848712402,0.00022566921151561913,1.0932436971504888e-05,1,naive
207,2018-10-31,ESZ18,9.164559093864037e-05,8.52396201542775e-05,6.405970784362867e-06,1,naive
208,2018-11-01,ESZ18,8.554462313161868e-05,8.313010386814218e-05,2.414519263476504e-06,1,naive
209,2018-11-02,ESZ18,0.00016303643965433242,0.00016259506453183942,4.413751224929959e-07,1,naive
210,2018-11-05,ESZ18,3.985757588900347e-05,3.730249701023536e-05,2.5550788787681125e-06,1,naive
211,2018-11-06,ESZ18,3.7693615085575266e-05,3.643624733816925e-05,1.2573677474060185e-06,1,naive
212,2018-11-07,ESZ18,3.725705480977535e-05,3.337507345462196e-05,3.881981355153389e-06,1,naive
213,2018-11-08,ESZ18,4.581823737122933e-05,4.1896757003545915e-05,3.921480367683414e-06,1,naive
214,2018-11-09,ESZ18,6.658568876796789e-05,6.565790835743319e-05,9.277804105346977e-07,1,naive
215,2018-11-12,ESZ18,0.00010285417197993052,0.00010263998968392066,2.1418229600985242e-07,1,naive
216,2018-11-13,ESZ18,0.0001490909156043357,0.00013659437241858428,1.249654318575142e-05,1,naive
217,2018-11-14,ESZ18,0.00014686631493205732,0.0001447533006044548,2.1130143276025114e-06,1,naive
218,2018-11-15,ESZ18,0.00020555353978369173,0.00019615646706688813,9.397072716803599e-06,1,naive
219,2018-11-16,ESZ18,9.526750728788089e-05,9.178640097377276e-05,3.4811063141081274e-06,1,naive
220,2018-11-19,ESZ18,0.00012655570903457838,0.0001223427251117355,4.212983922842879e-06,1,naive
221,2018-11-20,ESZ18,0.0001700446980916512,0.00017180978775161799,0.0,1,naive
222,2018-11-21,ESZ18,5.858561574908799e-05,5.7471733384638126e-05,1.1138823644498647e-06,1,naive
223,2018-11-23,ESZ18,3.321156615880996e-05,3.010452380728522e-05,3.107042351524742e-06,1,naive
224,2018-11-26,ESZ18,4.2135446935896254e-05,4.312172028809997e-05,0.0,1,naive
225,2018-11-27,ESZ18,6.069303799261724e-05,5.697319471757369e-05,3.7198432750435535e-06,1,naive
226,2018-11-28,ESZ18,7.468248380140416e-05,7.214493228898232e-05,2.537551512421838e-06,1,naive
227,2018-11-29,ESZ18,5.983609719447866e-05,4.912795697416201e-05,1.0708140220316654e-05,1,naive
228,2018-11-30,ESZ18,3.694085067501973e-05,3.39520894467934e-05,2.9887612282263336e-06,1,naive
229,2018-12-03,ESZ18,5.943181534604498e-05,5.643964653098298e-05,2.992168815062001e-06,1,naive
230,2018-12-04,ESZ18,0.00015253840931747726,0.00016309857888801218,0.0,1,naive
231,2018-12-06,ESH19,0.0002627216965821838,0.0002493258156644892,1.3395880917694615e-05,1,naive
0,2018-01-02,ESH18,4.3224036982744285e-06,3.721410360443278e-06,6.009933378311504e-07,2,naive
1,2018-01-03,ESH18,3.7181994244166126e-06,3.7110219592492105e-06,7.177465167402091e-09,2,naive
2,2018-01-04,ESH18,5.296170961225826e-06,4.589427381927032e-06,7.067435792987936e-07,2,naive
3,2018-01-05,ESH18,3.866702143830579e-06,3.4842961408383265e-06,3.824060029922524e-07,2,naive
4,2018-01-08,ESH18,3.9980065721430116e-06,3.290056006434753e-06,7.079505657082584e-07,2,naive
5,2018-01-09,ESH18,6.287124129728226e-06,4.879199753160888e-06,1.4079243765673376e-06,2,naive
6,2018-01-10,ESH18,7.257625963077392e-06,6.72525184735027e-06,5.323741157271215e-07,2,naive
7,2018-01-11,ESH18,5.18469316636121e-06,4.511361532540839e-06,6.733316338203707e-07,2,naive
8,2018-01-12,ESH18,5.113544877339644e-06,4.898662087243606e-06,2.1488279009603732e-07,2,naive
9,2018-01-16,ESH18,2.0246381464950125e-05,2.0640775397769873e-05,0.0,2,naive
10,2018-01-17,ESH18,8.34965703508627e-06,7.4835797745840296e-06,8.660772605022399e-07,2,naive
11,2018-01-18,ESH18,1.1808176997199879e-05,1.0113119349587907e-05,1.6950576476119714e-06,2,naive
12,2018-01-19,ESH18,8.19073045408685e-06,7.435567978986735e-06,7.551624751001146e-07,2,naive
13,2018-01-22,ESH18,5.29508476092448e-06,4.85527583799453e-06,4.3980892292995025e-07,2,naive
14,2018-01-23,ESH18,1.249538228687375e-05,1.1932879981785445e-05,5.625023050883052e-07,2,naive
15,2018-01-24,ESH18,1.8003180527198595e-05,1.7561441723837118e-05,4.41738803361477e-07,2,naive
16,2018-01-25,ESH18,1.684462249186831e-05,1.3884073746847028e-05,2.9605487450212825e-06,2,naive
17,2018-01-26,ESH18,8.057763357079205e-06,7.124479415936327e-06,9.332839411428785e-07,2,naive
18,2018-01-29,ESH18,1.3319843413112619e-05,1.1987929757664063e-05,1.3319136554485556e-06,2,naive
19,2018-01-30,ESH18,2.3158772184827755e-05,2.084815859975286e-05,2.3106135850748963e-06,2,naive
20,2018-01-31,ESH18,2.1724552944437444e-05,1.9718091111211447e-05,2.006461833225997e-06,2,naive
21,2018-02-01,ESH18,2.1020444894004963e-05,2.0427330126777256e-05,5.931147672277064e-07,2,naive
22,2018-02-02,ESH18,3.4005593189859006e-05,2.9585974426890873e-05,4.4196187629681325e-06,2,naive
23,2018-02-05,ESH18,0.00030071432715101927,0.00032744369091217205,0.0,2,naive
24,2018-02-06,ESH18,0.00041510004109038484,0.00043544493979529394,0.0,2,naive
25,2018-02-07,ESH18,9.271124495320495e-05,9.711809084243305e-05,0.0,2,naive
26,2018-02-08,ESH18,0.0001923249556769158,0.0001878703090198621,4.454646657053678e-06,2,naive
27,2018-02-09,ESH18,0.00030606145939959583,0.0003326320643142097,0.0,2,naive
28,2018-02-12,ESH18,8.578786647769717e-05,8.352840604953436e-05,2.2594604281628067e-06,2,naive
29,2018-02-13,ESH18,5.531590248912895e-05,5.461942188188477e-05,6.964806072441823e-07,2,naive
30,2018-02-14,ESH18,4.6717504648275e-05,4.884642564456211e-05,0.0,2,naive
31,2018-02-15,ESH18,3.2102725447530585e-05,2.7729803339249138e-05,4.3729221082814464e-06,2,naive
32,2018-02-16,ESH18,4.7449429042789224e-05,4.524400341231001e-05,2.2054256304792158e-06,2,naive
33,2018-02-20,ESH18,3.62659565672942e-05,3.512557267254764e-05,1.1403838947465574e-06,2,naive
34,2018-02-21,ESH18,5.858052861945111e-05,5.2384703895961055e-05,6.195824723490053e-06,2,naive
35,2018-02-22,ESH18,6.110327603004806e-05,4.762509098488029e-05,1.3478185045167776e-05,2,naive
36,2018-02-23,ESH18,2.339900858837395e-05,2.4189403503325186e-05,0.0,2,naive
